uuid,title,artist,date,src,w,h,restriction,tags
aeb07395-baf4-42c2-86d0-7db604b1392b,The Eyes of Herod,Aubrey Beardsley,1894,/collections/aubrey-beardsley/beardsley-illustration-00028.jpg,2278,3012,,grotesque
27306417-50e6-449a-87d7-b5bd1dfac170,The Stomach Dance,Aubrey Beardsley,1894,/collections/aubrey-beardsley/beardsley-illustration-00029.jpg,2258,3042,,grotesque
6e69c50b-9e0f-4b19-9c0d-93cf60b33646,The Toilet of Salomé,Aubrey Beardsley,1894,/collections/aubrey-beardsley/beardsley-illustration-00030.jpg,2214,3022,,grotesque
8e36e5d4-0778-4354-b29d-44d0d3f8da1e,The Climax,Aubrey Beardsley,1894,/collections/aubrey-beardsley/beardsley-illustration-00032.jpg,2200,3012,,grotesque
fcc10fab-9ed3-4b72-9fb0-13165e8a9364,The Scarlet Pastorale,Aubrey Beardsley,1894,/collections/aubrey-beardsley/beardsley-illustration-00037.jpg,2302,3238,,grotesque
359359d7-fdea-46cc-ac51-a8a9084a05bd,Messalina and her Companion,Aubrey Beardsley,1895,/collections/aubrey-beardsley/beardsley-later-works-00017.jpg,1392,2086,,grotesque
8609fd75-49bb-4668-a8eb-b3f8bfb92a0b,A Design,Aubrey Beardsley,1896,/collections/aubrey-beardsley/beardsley-illustration-00044.jpg,2210,1846,,grotesque
2a9bb539-05d1-4b7c-9893-9dd5b2f71130,The Third Tableau of ‘Das Rheingold’,Aubrey Beardsley,1896,/collections/aubrey-beardsley/beardsley-illustration-00049.jpg,2380,3390,,grotesque
31a9c4ea-4140-4042-a3fb-a71c65578821,The Fourth Tableau of ‘Das Rheingold’,Aubrey Beardsley,1896,/collections/aubrey-beardsley/beardsley-illustration-00051.jpg,2944,3508,,grotesque
2dc7a5d3-3581-4a75-8662-bf533384f94f,The Death of Pierrot,Aubrey Beardsley,1896,/collections/aubrey-beardsley/beardsley-illustration-00052.jpg,2400,3434,,grotesque
457a9f4f-5184-40e7-90c4-7fda67ab1ec8,"Don Juan, Sganarelle, and the Beggar, illustration for a translation of Molière’s Don Juan",Aubrey Beardsley,1896,/collections/aubrey-beardsley/beardsley-illustration-00054.jpg,2014,3218,,grotesque
275691e6-c42a-48a4-a6b2-1230a1337d56,"Erda, illustration for Wagner’s Das Rheingold",Aubrey Beardsley,1896,/collections/aubrey-beardsley/beardsley-illustration-00055.jpg,1628,2416,,grotesque
78c41a99-5346-4970-a464-67124c5df955,"Alberich, illustration for Wagner’s Das Rheingold",Aubrey Beardsley,1896,/collections/aubrey-beardsley/beardsley-illustration-00056.jpg,1540,1550,,"grotesque,human-animal-hybrid,hybrid-figures"
ba48edcd-9403-460e-8ecd-0d92ecafb3e9,"Les Liaisons Dangereuses, illustration for Pierre Choderlos de Laclos’ novel",Aubrey Beardsley,1896,/collections/aubrey-beardsley/beardsley-illustration-00057.jpg,1978,2886,,grotesque
546a11ba-f64d-4f2e-b574-e4cf058a161d,The Cave of Spleen,Aubrey Beardsley,1897,/collections/aubrey-beardsley/beardsley-later-works-00026.jpg,1802,2556,,"grotesque,hybrid-figures"
1c431ce1-5332-4463-a62c-f37ef4b79100,The Rape of the Lock,Aubrey Beardsley,1897,/collections/aubrey-beardsley/beardsley-later-works-00027.jpg,1765,2547,,grotesque
2df95e74-c0d8-4c51-97fe-f2a06adcf7fc,The Battle of the Beau and the Belles,Aubrey Beardsley,1897,/collections/aubrey-beardsley/beardsley-later-works-00028.jpg,1805,2579,,grotesque
64898c38-c3d7-44dc-b284-167937be7c57,Personal bookplate (ex libris),Aubrey Beardsley,ca. 1897,/collections/aubrey-beardsley/beardsley-illustration-00059.jpg,2078,2988,,grotesque
202c4ae7-7e12-420c-b035-bb1a670c4477,,Wallace Smith,1922,/essays/relaxations-for-the-impotent/01-fantaziusmallare00hechrich_0137-edit.jpg,3606,2138,,grotesque
c7eaa164-7845-41d1-ae3c-1c2f2a143a9a,,Wallace Smith,1922,/essays/relaxations-for-the-impotent/fantaziusmallare00hechrich_0027-edit-2.jpg,2263,3604,,grotesque
1b3d777f-ee8b-4bcf-b0e8-0fddd46c28f2,,Wallace Smith,1922,/essays/relaxations-for-the-impotent/04-fantaziusmallare00hechrich_0167-edit.jpg,2114,3452,,grotesque
833eb081-d91d-44f8-ab17-71339c861eb3,,Wallace Smith,1922,/essays/relaxations-for-the-impotent/05-fantaziusmallare00hechrich_0215-edit.jpg,2190,3516,,grotesque
214b2cdb-85f6-4be2-9ea1-5a413194e15f,,Wallace Smith,1922,/essays/relaxations-for-the-impotent/06-fantaziusmallare00hechrich_0121-edit.jpg,2280,3572,,grotesque
c0d42474-ff2c-416b-90de-a3a431305454,,Wallace Smith,1922,/essays/relaxations-for-the-impotent/07-fantaziusmallare00hechrich_0207-edit.jpg,2242,3600,,grotesque
