file,uuid,title,artist,date,w,h,tags,status
walking-couple-by-moonlight__bda9b10e.jpg,bda9b10e-4cc1-456f-9669-811a2d164238,Walking Couple by Moonlight,Gesina ter Borch,1654,1200,1200,"moon,stars",have
inferno-canto-xxxiv-dante-and-virgil-emerge-from-hell-and-se__5f4b2ee5.jpg,5f4b2ee5-cc45-4607-b1a7-7fc4e5ac1a75,"*Inferno*, Canto XXXIV: Dante and Virgil emerge from Hell and see the stars.",,ca. 1370,1273,1307,stars,have
paradiso-canto-xxvii-the-sphere-of-fixed-stars__79e73cd3.jpg,79e73cd3-ff73-4f34-ae7c-d6a68b185fcb,"*Paradiso*, Canto XXVII: The Sphere of Fixed Stars.",,ca. 1564,1942,2356,stars,have
paradiso-canto-v-first-heaven-sphere-of-the-moon__ccc82acf.jpg,ccc82acf-0b2e-4687-8d93-44f49bb35f15,"*Paradiso*, Canto V: First Heaven, Sphere of the Moon.",Petrus de Plasiis,ca. 1491,1886,1894,"moon,stars",have
air__bdcc27b5.jpg,bdcc27b5-81a6-449d-ae1a-28a3aa2d3756,Air,William Blake,1793,2512,2874,stars,have
frustules-of-diatoms__1849add6.jpg,1849add6-19f5-487b-aaec-68f8a4d67d63,Frustules of Diatoms,Julius Wiesner,1870,1059,1200,stars,have
the-melancholic-temperament__86bb1386.jpg,86bb1386-98ba-445c-b216-2f05f8f4a79c,The Melancholic Temperament,Jacob de Gheyn (II) (after),ca. 1596,743,1000,"moon,stars",have
untitled__12d44633.jpg,12d44633-c0a0-4020-85d2-107e702e6134,,William Elliot Griffis,1922,614,1000,stars,have
frank-swinnerton-contemplating-from-the-tight-little-isle-th__9776a3df.jpg,9776a3df-223e-4fd9-a425-ea083386d01d,"Frank Swinnerton Contemplating, From the Tight Little Isle, The Two Classes of Prigs Developed by Prohibition; Those Who Accept and Those Who Rebel",Ralph Barton,1922,650,1010,stars,have
atomic-signs-sign-route-550-farmington-new-mexico__f59026ec.jpg,f59026ec-34cb-4fbb-b8c3-269bf328497b,"Atomic Signs sign, Route 550, Farmington, New Mexico.",John Margolies,1980,555,800,stars,have
the-path-to-the-moon__e3f4a917.jpg,e3f4a917-6de6-40f2-816d-ab0e3c35e9bb,The Path to the Moon,W. T. Horton,1898,635,768,"moon,stars",have
the-hall-of-stars-a-design-for-the-magic-flute__9429b03e.jpg,9429b03e-32a4-43eb-95ae-0ee3a93a386f,"The Hall of Stars, a Design for The Magic Flute","Karl Friedrich Thiele, after Karl Friedrich Schinkel",ca. 1848,1200,830,"sky,stars",have
fireworks-at-the-ryogoku-bridge__8fd472f4.jpg,8fd472f4-a986-4f9f-835b-bd54cba762cc,Fireworks at the Ryogoku Bridge,Utagawa Hiroshige,1858,830,1200,"sky,stars",have
cover-for-em-a-book-of-images-em__e04ff46e.jpg,e04ff46e-8cfb-40a8-b71b-0bd4eb94a44a,Cover for <em>A Book of Images</em>,W. T. Horton,1898,482,680,"moon,stars",have
no-sooner-had-he-whistled-than-he-heard-a-whizzing-and-a-whi__54e86ac5.jpg,54e86ac5-7fd8-408b-b3b4-d340c342349d,"""No sooner had he whistled than he heard a whizzing and a whirring from all quarters, and such a large flock of birds swept down that they blackened all the field in which they settled.""",Kay Nielsen,1922,557,800,"sky,stars",have
she-could-not-help-putting-the-door-a-little-ajar-just-to-pe__95f92e3a.jpg,95f92e3a-b059-4e33-9ccd-e9500797a19c,"“She could not help putting the door a little ajar just to peep in, when — Pop! out flew the Moon.”",Kay Nielsen,1922,568,800,"moon,stars",have
a-promenade-through-the-sky__eab4c6f3.jpg,eab4c6f3-58d2-4e42-9390-db3ba4a89b17,A Promenade Through the Sky,J. J. Grandville,1847,683,1023,"sky,stars",have
thou-hast-slain-the-monster-cried-ariadne-clasping-her-hands__bb0c74e4.jpg,bb0c74e4-6693-49f6-b177-de885d4f453c,"“Thou hast slain the monster”, cried Ariadne, clasping her hands",Nathaniel Hawthorne,1921,620,815,stars,have
