uuid,title,artist,date,src,w,h,restriction,tags
e8064e54-1e82-4a00-979b-3b9c7b69f8a3,"Facsimile of the Codex Vaticanus B, ca. before 1596",Agostino Aglio,1831–48,/collections/antiquities-of-mexico/antiquities-of-mexico-00075.jpg,3710,3715,,"animals,monkeys"
00483263-dc86-4308-856e-1531fb9454dd,"Facsimile of the Codex Vaticanus B, ca. before 1596",Agostino Aglio,1831–48,/collections/antiquities-of-mexico/antiquities-of-mexico-00076.jpg,3764,3660,,animals
3e740863-dbe5-4ecc-8493-63fd802c2be1,"Facsimile of the Codex Vaticanus B, ca. before 1596",Agostino Aglio,1831–48,/collections/antiquities-of-mexico/antiquities-of-mexico-00077.jpg,3813,3640,,animals
f0569289-fd31-4ecb-a4a4-acce0516c70b,"Facsimile of the Codex Vaticanus B, ca. before 1596",Agostino Aglio,1831–48,/collections/antiquities-of-mexico/antiquities-of-mexico-00078.jpg,3746,3743,,animals
c8579456-f539-4a53-94d5-dbb6ff634ce9,"Facsimile of the Codex Vaticanus B, ca. before 1596",Agostino Aglio,1831–48,/collections/antiquities-of-mexico/antiquities-of-mexico-00079.jpg,3739,3685,,animals
23a97293-fc1c-4034-87cb-49cf98380b21,"Facsimile of the Codex Vaticanus B, ca. before 1596",Agostino Aglio,1831–48,/collections/antiquities-of-mexico/antiquities-of-mexico-00080.jpg,3876,3783,,"animals,birds"
4b99efcb-52c9-44be-ab63-da791cc7102f,,Agostino Aglio,1831–48,/collections/antiquities-of-mexico/AntiquitiesMexiv3King_thumb.jpg,848,850,,animals
488c0e48-edfc-491f-a198-dc0e31f943f2,,Agostino Aglio,1831–48,/collections/antiquities-of-mexico/AntiquitiesMexiv2King_thumb-3.jpg,960,850,,animals
17d2b982-e08b-4b13-8c8a-1f76651b7131,,Anne Allen; Jean-Baptiste Pillement,ca. 1790s,/collections/chinese-arabesques/40092_0df19a8f49d45b59_o-edit.jpeg,3256,4412,,animals
211230ef-441e-4ac3-815d-06cacc798cae,,Anne Allen; Jean-Baptiste Pillement,ca. 1790s,/collections/chinese-arabesques/40094_40ba245f38b9a1b3_o-edit.jpeg,3344,4532,,animals
4e3b5132-65d5-4d5b-97a9-6b86f7c96926,,Anne Allen; Jean-Baptiste Pillement,ca. 1790s,/collections/chinese-arabesques/40093_0c5e46ede85ba22d_o-edit.jpeg,3319,4471,,animals
