file,uuid,title,artist,date,w,h,tags,status
untitled__3c117223.jpg,3c117223-ba88-4bd9-a67b-7b75ebb8ba42,,Zhao Mengfu,ca. 1300,3007,2199,"animals,horses",ok
untitled__d59b56e0.jpg,d59b56e0-dbcf-41e7-a62f-3130e558a60d,,Zhao Mengfu,ca. 1300,3004,2192,"animals,horses",ok
untitled__aa028a7a.jpg,aa028a7a-a7ec-4f05-85d2-39ef8aa27ddf,,Zhao Mengfu,ca. 1300,3132,2092,"animals,horses",ok
the-sick-goose-and-the-council-of-health__ea9a777d.jpg,ea9a777d-96f3-4d46-be95-fcec33e5a47d,The Sick Goose and the Council of Health,George Cruikshank,1830s,3378,2115,animals,ok
spring__62858081.jpg,62858081-a815-4903-bdbc-c131db8ca9b2,Spring,Michalina Janoszanka,1926,1500,1393,"animals,frogs",ok
a-woman-who-gave-birth-to-three-children-and-four-animals__6b4310b5.jpg,6b4310b5-5e96-4270-8824-52bb7a817a07,A Woman Who Gave Birth to Three Children and Four Animals,José Guadalupe Posada,ca. 1894,1759,1181,animals,ok
the-angler-as-seen-from-under-the-water__c86274c6.jpg,c86274c6-643e-41e3-957a-21cba1f7df8a,The Angler as seen from under the Water,Francis Ward,1920,3080,1754,"animals,fish",ok
as-the-fish-sees-the-angler__465beb37.jpg,465beb37-7ca3-4ece-9e34-cdeb836d586f,As the Fish Sees the Angler,Edward Ringwood Hewitt,1922,1419,1921,"animals,fish",ok
fingers-in-water-as-seen-from-below__6d9ed189.jpg,6d9ed189-e554-44e7-b734-83bdee3de1b9,Fingers in Water as Seen from Below,Edward Ringwood Hewitt,1922,1344,2200,"animals,fish",ok
dry-fly-as-seen-by-a-trout__052ac55c.jpg,052ac55c-ad83-484a-9ca7-c41395f5a991,Dry Fly as seen by a Trout,Francis Ward,1920,2001,3501,"animals,fish",ok
the-angler-as-seen-from-below-the-water__de214713.jpg,de214713-0e7a-4e78-ae7f-9c5038f9165a,The Angler as seen from below the Water,Francis Ward,1920,1706,3381,"animals,fish",ok
the-fish-and-the-fowl__26b90d43.jpg,26b90d43-2a83-4723-8f8f-6b2f3edc2342,The Fish and the Fowl,Paul Nash,1924,2894,3720,"animals,birds,fish",ok
untitled__406193db.jpg,406193db-10d3-4951-87f6-eec3f18ed28e,,Anton Seder,1896,3168,2166,"animals,sea-life",ok
a-cat-and-her-kittens__b47de780.jpg,b47de780-a1ee-4f2b-a881-215a157a06be,A cat and her kittens,Gottfried Mind,ca. 1800,4513,3319,"animals,cats",ok
a-cat-and-her-kittens__fbce2056.jpg,fbce2056-379a-4317-8f1f-d6c86c243525,A cat and her kittens,Gottfried Mind,ca. 1800,5138,3303,"animals,cats",ok
a-cat-and-her-kittens__7f7c19c6.jpg,7f7c19c6-3e5f-4d36-983c-551aede881d6,A cat and her kittens,Joseph Brodtmann; Gottfried Mind,ca. 1820–60,4015,2981,"animals,cats",ok
a-cat-and-dog__c791e9bc.jpg,c791e9bc-1bae-48af-993e-7dc6e943d1bb,A cat and dog,Joseph Brodtmann; Gottfried Mind,ca. 1820–60,4219,3226,"animals,cats,dog",ok
facsimile-of-the-codex-mendoza-ca-1541-1650__292c88af.jpg,292c88af-6fb7-4ac2-b2fc-e926c9946704,"Facsimile of the Codex Mendoza, ca. 1541–1650",Agostino Aglio,1831–48,2637,3629,"animals,cats",ok
facsimile-of-the-codex-telleriano-remensis-mid-16th-century__d18ba8ca.jpg,d18ba8ca-9083-43ed-8c54-53222d05c732,"Facsimile of the Codex Telleriano-Remensis, mid 16th century",Agostino Aglio,1831–48,2436,2595,"animals,cats",ok
facsimile-of-the-codex-telleriano-remensis-mid-16th-century__c62be999.jpg,c62be999-06d0-4eab-ab2b-33f8845091ab,"Facsimile of the Codex Telleriano-Remensis, mid 16th century",Agostino Aglio,1831–48,2469,2524,"animals,cats",ok
facsimile-of-the-codex-telleriano-remensis-mid-16th-century__333e48e7.jpg,333e48e7-4966-4cab-974d-b233ba3e3a95,"Facsimile of the Codex Telleriano-Remensis, mid 16th century",Agostino Aglio,1831–48,2770,2917,"animals,rabbits",ok
facsimile-of-the-codex-bodley-ca-before-1521__786b6d9c.jpg,786b6d9c-4ed1-4f1b-9d4c-8721b66cb1fa,"Facsimile of the Codex Bodley, ca. before 1521",Agostino Aglio,1831–48,3361,3094,animals,ok
facsimile-of-the-codex-bodley-ca-before-1521__1ec94a56.jpg,1ec94a56-aef6-4408-9114-e6effccbee85,"Facsimile of the Codex Bodley, ca. before 1521",Agostino Aglio,1831–48,3438,3113,animals,ok
facsimile-of-the-codex-r-os-ca-after-1566__b737d283.jpg,b737d283-5e81-427a-9c2a-c43dd32c361a,"Facsimile of the Codex Ríos, ca. after 1566",Agostino Aglio,1831–48,3276,3248,animals,ok
facsimile-of-the-codex-r-os-ca-after-1566__e18998d7.jpg,e18998d7-0f45-4050-bd67-0537371496bd,"Facsimile of the Codex Ríos, ca. after 1566",Agostino Aglio,1831–48,3261,3342,animals,ok
facsimile-of-the-codex-r-os-ca-after-1566__068f115b.jpg,068f115b-977b-4089-9cc6-26d228049b59,"Facsimile of the Codex Ríos, ca. after 1566",Agostino Aglio,1831–48,3335,2725,animals,ok
facsimile-of-the-codex-vindobonensis-ca-late-15th-or-early-1__dce18621.jpg,dce18621-840b-4c94-913f-1a261530f573,"Facsimile of the Codex Vindobonensis, ca. late 15th or early 16th century",Agostino Aglio,1831–48,3331,2927,animals,ok
facsimile-of-the-codex-vindobonensis-ca-late-15th-or-early-1__8a96d5a6.jpg,8a96d5a6-f8f5-4d86-af94-66515689f5eb,"Facsimile of the Codex Vindobonensis, ca. late 15th or early 16th century",Agostino Aglio,1831–48,3243,2944,animals,ok
facsimile-of-the-codex-vindobonensis-ca-late-15th-or-early-1__3e7ec028.jpg,3e7ec028-0841-4362-907e-c73c10b3272a,"Facsimile of the Codex Vindobonensis, ca. late 15th or early 16th century",Agostino Aglio,1831–48,3361,2992,animals,ok
facsimile-of-the-codex-vindobonensis-ca-late-15th-or-early-1__60deb0bf.jpg,60deb0bf-afea-491d-8d71-0d525e34b651,"Facsimile of the Codex Vindobonensis, ca. late 15th or early 16th century",Agostino Aglio,1831–48,3386,3006,animals,ok
facsimile-of-the-codex-vindobonensis-ca-late-15th-or-early-1__f3e715a2.jpg,f3e715a2-9a4a-49d6-bec2-c5a930d1985b,"Facsimile of the Codex Vindobonensis, ca. late 15th or early 16th century",Agostino Aglio,1831–48,3402,2926,animals,ok
facsimile-of-the-codex-vindobonensis-ca-late-15th-or-early-1__7b5a52c3.jpg,7b5a52c3-9e9a-4e4c-a547-f1b0366b9c91,"Facsimile of the Codex Vindobonensis, ca. late 15th or early 16th century",Agostino Aglio,1831–48,3503,2996,animals,ok
facsimile-of-the-codex-vindobonensis-ca-late-15th-or-early-1__98aa178e.jpg,98aa178e-fda4-4143-8fb2-4dd6dc96c7c5,"Facsimile of the Codex Vindobonensis, ca. late 15th or early 16th century",Agostino Aglio,1831–48,3565,3021,animals,ok
facsimile-of-the-codex-vindobonensis-ca-late-15th-or-early-1__10c14492.jpg,10c14492-2f39-4263-b7b7-26c702837f04,"Facsimile of the Codex Vindobonensis, ca. late 15th or early 16th century",Agostino Aglio,1831–48,3470,2899,"animals,insects",ok
facsimile-of-the-codex-vindobonensis-ca-late-15th-or-early-1__14bc8b6a.jpg,14bc8b6a-44e7-497d-af30-07de0dc9cc5e,"Facsimile of the Codex Vindobonensis, ca. late 15th or early 16th century",Agostino Aglio,1831–48,3395,2885,animals,ok
facsimile-of-the-codex-fej-rv-ry-mayer-ca-before-1521__33477b28.jpg,33477b28-bdaf-4ab0-acf6-a92ab59e41b9,"Facsimile of the Codex Fejérváry-Mayer, ca. before 1521",Agostino Aglio,1831–48,2241,2159,animals,ok
facsimile-of-the-codex-fej-rv-ry-mayer-ca-before-1521__7a51490a.jpg,7a51490a-15b4-4280-ac1c-a219fbbf9602,"Facsimile of the Codex Fejérváry-Mayer, ca. before 1521",Agostino Aglio,1831–48,2158,2119,animals,ok
facsimile-of-the-codex-vaticanus-b-ca-before-1596__883260a2.jpg,883260a2-2358-4ecd-9b27-46949b494c03,"Facsimile of the Codex Vaticanus B, ca. before 1596",Agostino Aglio,1831–48,3775,3692,animals,ok
facsimile-of-the-codex-vaticanus-b-ca-before-1596__e8064e54.jpg,e8064e54-1e82-4a00-979b-3b9c7b69f8a3,"Facsimile of the Codex Vaticanus B, ca. before 1596",Agostino Aglio,1831–48,3710,3715,"animals,monkeys",ok
facsimile-of-the-codex-vaticanus-b-ca-before-1596__00483263.jpg,00483263-dc86-4308-856e-1531fb9454dd,"Facsimile of the Codex Vaticanus B, ca. before 1596",Agostino Aglio,1831–48,3764,3660,animals,ok
facsimile-of-the-codex-vaticanus-b-ca-before-1596__3e740863.jpg,3e740863-dbe5-4ecc-8493-63fd802c2be1,"Facsimile of the Codex Vaticanus B, ca. before 1596",Agostino Aglio,1831–48,3813,3640,animals,ok
facsimile-of-the-codex-vaticanus-b-ca-before-1596__f0569289.jpg,f0569289-fd31-4ecb-a4a4-acce0516c70b,"Facsimile of the Codex Vaticanus B, ca. before 1596",Agostino Aglio,1831–48,3746,3743,animals,ok
facsimile-of-the-codex-vaticanus-b-ca-before-1596__c8579456.jpg,c8579456-f539-4a53-94d5-dbb6ff634ce9,"Facsimile of the Codex Vaticanus B, ca. before 1596",Agostino Aglio,1831–48,3739,3685,animals,ok
facsimile-of-the-codex-vaticanus-b-ca-before-1596__23a97293.jpg,23a97293-fc1c-4034-87cb-49cf98380b21,"Facsimile of the Codex Vaticanus B, ca. before 1596",Agostino Aglio,1831–48,3876,3783,"animals,birds",ok
untitled__4b99efcb.jpg,4b99efcb-52c9-44be-ab63-da791cc7102f,,Agostino Aglio,1831–48,848,850,animals,ok
untitled__488c0e48.jpg,488c0e48-edfc-491f-a198-dc0e31f943f2,,Agostino Aglio,1831–48,960,850,animals,ok
untitled__17d2b982.jpeg,17d2b982-e08b-4b13-8c8a-1f76651b7131,,Anne Allen; Jean-Baptiste Pillement,ca. 1790s,3256,4412,animals,ok
untitled__211230ef.jpeg,211230ef-441e-4ac3-815d-06cacc798cae,,Anne Allen; Jean-Baptiste Pillement,ca. 1790s,3344,4532,animals,ok
untitled__4e3b5132.jpeg,4e3b5132-65d5-4d5b-97a9-6b86f7c96926,,Anne Allen; Jean-Baptiste Pillement,ca. 1790s,3319,4471,animals,ok
nazareth__a51e82eb.jpg,a51e82eb-be3f-4499-b0cd-8d300e9fc685,Nazareth,,ca. 1900,4456,2235,animals,ok
beersheba__e2db41ad.jpg,e2db41ad-ac3a-4440-a179-013caa6cd370,Beersheba,,ca. 1910,6015,4450,animals,ok
peasant-company-with-wife-disrobing-husband__6f204c6a.jpg,6f204c6a-d6f7-4478-934d-1e6a0fae3c40,Peasant Company with Wife Disrobing Husband,Maria Catharina Prestel; Isaac van Ostade,1783,2968,2472,animals,ok
landscape-with-cattle__854beff3.jpg,854beff3-3cfb-4481-8add-cd1b1b0f31a1,Landscape with Cattle,Maria Catharina Prestel; Georg Wagner,1783,2870,2373,"animals,livestock,sheep",ok
the-hare-and-the-well-a-creole-fairy-tale-from-louisiana__65c039f6.jpg,65c039f6-e3ef-4622-a274-b1126c79e212,"“The Hare and the Well”, a Creole fairy tale from Louisiana.",Tom Seidmann-Freud,1924,1774,1420,"animals,rabbits",ok
why-the-hare-has-no-tail-a-zulu-fairy-tale__bfb9c099.jpg,bfb9c099-b4f3-41b2-8b4a-99773d86d7ba,"“Why the Hare Has No Tail”, a Zulu fairy tale.",Tom Seidmann-Freud,1924,1774,1420,"animals,birds,cats,rabbits",ok
the-hare-a-hudson-bay-inuit-fairy-tale__b5f9d5d3.jpg,b5f9d5d3-7819-4eb7-a82f-ad92d4d6248b,"“The Hare”, a Hudson Bay Inuit fairy tale.",Tom Seidmann-Freud,1924,1774,1420,"animals,rabbits",ok
view-of-lake-patenggang-in-java__500ce79f.jpg,500ce79f-c9bc-4df2-93c7-7e943abf97bb,View of Lake Patenggang in Java,Franz Wilhelm Junghuhn,1854,4432,3324,animals,ok
blackwork-print-of-apollo-sitting-with-his-lyre-against-a-le__1196a4be.jpg,1196a4be-8eaf-4759-8d67-2f4b2e4a3465,Blackwork print of Apollo sitting with his lyre against a leafless tree,Esaias van Hulsen,1617,4084,3914,"animals,birds",ok
blackwork-design-for-goldsmith-work-featuring-a-hunter-and-a__5ad72413.jpeg,5ad72413-a919-46f9-9282-639ec281c0e4,Blackwork design for goldsmith work featuring a hunter and a fisherman,Mathais Beitler,1612,3066,2631,animals,ok
blackwork-print-with-a-jug-in-the-middle__53376b3f.jpg,53376b3f-0c1e-44c5-a585-fb7ed084b9a7,Blackwork print with a jug in the middle,Esaias van Hulsen,1617,4448,4512,animals,ok
