file,uuid,title,artist,date,w,h,tags,status
alms-house-bird__ab8f07f0.jpeg,ab8f07f0-69a9-4d66-acc0-ed8cfd329c96,Alms House Bird,Henry L. Stephens,1851,2243,3312,human-animal-hybrid,ok
the-comic-natural-history__a870aa6c.jpg,a870aa6c-d273-4ef1-9910-33e75b6a599c,The Comic Natural History,Henry L. Stephens,1851,2562,3996,human-animal-hybrid,ok
night-hawk__b6243058.jpeg,b6243058-9f84-4cec-91f0-95a17afd7194,Night Hawk,Henry L. Stephens,1851,2296,3172,human-animal-hybrid,ok
mac-arel__be7e0cf7.jpeg,be7e0cf7-6b5c-43aa-b91b-a90c1b9808f7,Mac-Arel,Henry L. Stephens,1851,2856,1896,human-animal-hybrid,ok
old-shad-young__d54c3df7.jpeg,d54c3df7-2929-48a7-8bc0-6ffd2d62212d,Old Shad & Young,Henry L. Stephens,1851,3356,2120,human-animal-hybrid,ok
sun-bird__f85acb95.jpg,f85acb95-f0a6-4921-b4b3-a8c57d1a5d07,Sun Bird,Henry L. Stephens,1851,2360,3312,human-animal-hybrid,ok
catamaran-speel-s-owl__f061bbad.jpg,f061bbad-3285-41f2-926b-60db1fca37c4,Catamaran Speel's Owl,Henry L. Stephens,1851,2272,3260,human-animal-hybrid,ok
vegetable-lamb__07affc7e.jpg,07affc7e-ea07-4366-bc31-35ac5cdcb244,Vegetable lamb,,1481,1260,1266,"animal-hybrid,fantastical-creatures,hybrid-figures,mythological-creatures",ok
vegetable-lamb__f2f156eb.jpg,f2f156eb-2c9f-454d-80ce-4480df9f8db9,Vegetable lamb,,1725,1167,1194,"animal-hybrid,fantastical-creatures,hybrid-figures,mythological-creatures",ok
vegetable-lamb__403c5d67.jpg,403c5d67-0b8e-4678-b697-af7b2d56d13b,Vegetable lamb,,1605,1429,1032,"animal-hybrid,fantastical-creatures,hybrid-figures,mythological-creatures",ok
